num,direction,status,pnl_rr,entry_price,sl_price,tp_price,sl_ticks,entry_dt,exit_dt,duration,session,tq,fvg_dir,fvg_extreme,fvg_detail,fvg_ticks,ob_method,ob_reuses,liq_in,liq_inv,prev_ses,prev_high,prev_low,comp_obs
1,LONG,BE,0.0,1.45444,1.45244,1.45844,200,2020-01-15 18:10:00,2020-01-16 16:40:00,270,New York,60.4,bullish,True,Top 1.456 vs préc. 1.455,122,1,16,False,True,London,1.4565299999999999,1.4528400000000001,"['OB Baissier 1.458–1.460', 'OB Baissier 1.456–1.458', 'OB Baissier 1.455–1.456', 'OB Baissier 1.456–1.459', 'OB Baissier 1.457–1.460', 'OB Baissier 1.455–1.457', 'OB Baissier 1.455–1.456', 'OB Baissier 1.455–1.457', 'OB Baissier 1.457–1.458', 'OB Baissier 1.458–1.459', 'OB Baissier 1.456–1.458', 'OB Baissier 1.458–1.460', 'OB Baissier 1.455–1.459', 'OB Baissier 1.457–1.458', 'OB Baissier 1.455–1.457', 'OB Baissier 1.455–1.456']"
2,LONG,BE,0.0,1.46198,1.45998,1.46598,200,2020-02-05 14:25:00,2020-02-05 16:40:00,27,New York,60.7,bullish,True,Top 1.470 vs préc. 1.465,606,1,7,True,False,London,1.46856,1.46228,"['OB Baissier 1.466–1.467', 'OB Baissier 1.462–1.464', 'OB Baissier 1.466–1.468', 'OB Baissier 1.464–1.465', 'OB Baissier 1.463–1.465', 'OB Baissier 1.465–1.466', 'OB Baissier 1.465–1.466', 'OB Baissier 1.466–1.468', 'OB Baissier 1.465–1.467', 'OB Baissier 1.464–1.465', 'OB Baissier 1.464–1.466', 'OB Baissier 1.465–1.466', 'OB Baissier 1.465–1.467', 'OB Baissier 1.465–1.466', 'OB Baissier 1.464–1.466', 'OB Baissier 1.462–1.463', 'OB Baissier 1.465–1.466', 'OB Baissier 1.465–1.466', 'OB Baissier 1.465–1.466', 'OB Baissier 1.464–1.465']"
3,LONG,LOSS,-1.0,1.4435799999999999,1.4415799999999999,1.4475799999999999,200,2020-02-26 17:25:00,2020-02-26 17:40:00,3,New York,71.7,bullish,True,Top 1.447 vs préc. 1.444,268,1,6,True,False,London,1.4498,1.4435799999999999,"['OB Baissier 1.446–1.447', 'OB Baissier 1.446–1.447', 'OB Baissier 1.447–1.450', 'OB Baissier 1.446–1.447', 'OB Baissier 1.446–1.447', 'OB Baissier 1.445–1.445', 'OB Baissier 1.445–1.446', 'OB Baissier 1.447–1.449', 'OB Baissier 1.446–1.448', 'OB Baissier 1.444–1.445', 'OB Baissier 1.447–1.448', 'OB Baissier 1.445–1.447', 'OB Baissier 1.445–1.446', 'OB Baissier 1.445–1.448', 'OB Baissier 1.446–1.448', 'OB Baissier 1.446–1.447', 'OB Baissier 1.445–1.446', 'OB Baissier 1.447–1.449', 'OB Baissier 1.446–1.447']"
4,LONG,LOSS,-1.0,1.47681,1.47481,1.48081,200,2020-02-28 16:10:00,2020-02-28 16:20:00,2,New York,87.0,bullish,True,Top 1.484 vs préc. 1.476,523,1,11,True,False,London,1.4868000000000001,1.47681,"['OB Baissier 1.480–1.483', 'OB Baissier 1.477–1.478', 'OB Baissier 1.479–1.480', 'OB Baissier 1.481–1.482', 'OB Baissier 1.477–1.478', 'OB Baissier 1.481–1.482', 'OB Baissier 1.480–1.482', 'OB Baissier 1.477–1.478', 'OB Baissier 1.478–1.479', 'OB Baissier 1.479–1.480', 'OB Baissier 1.478–1.478', 'OB Baissier 1.477–1.478', 'OB Baissier 1.479–1.480', 'OB Baissier 1.478–1.478', 'OB Baissier 1.478–1.479', 'OB Baissier 1.480–1.482', 'OB Baissier 1.477–1.478', 'OB Baissier 1.479–1.480']"
5,LONG,BE,0.0,1.4830999999999999,1.4810999999999999,1.4870999999999999,200,2020-03-03 00:00:00,2020-03-03 04:15:00,51,Tokyo,90.0,bullish,True,Top 1.488 vs préc. 1.485,253,1,14,False,False,New York,1.4923600000000001,1.47993,"['OB Baissier 1.484–1.486', 'OB Baissier 1.484–1.485', 'OB Baissier 1.483–1.484', 'OB Baissier 1.483–1.487', 'OB Baissier 1.485–1.486', 'OB Baissier 1.486–1.488', 'OB Baissier 1.485–1.486', 'OB Baissier 1.485–1.487', 'OB Baissier 1.486–1.488', 'OB Baissier 1.486–1.488', 'OB Baissier 1.487–1.487', 'OB Baissier 1.487–1.488', 'OB Baissier 1.486–1.488', 'OB Baissier 1.485–1.486', 'OB Baissier 1.483–1.485', 'OB Baissier 1.484–1.485', 'OB Baissier 1.486–1.488', 'OB Baissier 1.483–1.484']"
6,LONG,WIN,2.0,1.48121,1.47921,1.48521,200,2020-03-04 17:30:00,2020-03-04 18:00:00,6,New York,86.6,bullish,True,Top 1.490 vs préc. 1.488,170,3,5,True,False,London,1.4935800000000001,1.48704,"['OB Baissier 1.483–1.485', 'OB Baissier 1.484–1.486', 'OB Baissier 1.484–1.485', 'OB Baissier 1.483–1.484', 'OB Baissier 1.482–1.483', 'OB Baissier 1.482–1.482', 'OB Baissier 1.481–1.483', 'OB Baissier 1.483–1.487', 'OB Baissier 1.483–1.483', 'OB Baissier 1.485–1.486', 'OB Baissier 1.482–1.483', 'OB Baissier 1.483–1.484', 'OB Baissier 1.482–1.483', 'OB Baissier 1.483–1.483', 'OB Baissier 1.482–1.482', 'OB Baissier 1.482–1.482', 'OB Baissier 1.482–1.484', 'OB Baissier 1.482–1.483', 'OB Baissier 1.482–1.484', 'OB Baissier 1.482–1.484', 'OB Baissier 1.481–1.484', 'OB Baissier 1.482–1.482', 'OB Baissier 1.483–1.485', 'OB Baissier 1.484–1.485', 'OB Baissier 1.483–1.484', 'OB Baissier 1.483–1.484']"
7,LONG,BE,0.0,1.55169,1.54969,1.55569,200,2020-03-09 11:35:00,2020-03-09 11:55:00,4,London,88.6,bullish,True,Top 1.560 vs préc. 1.559,559,1,52,False,False,Tokyo,1.58171,1.51492,"['OB Baissier 1.554–1.560', 'OB Baissier 1.556–1.560', 'OB Baissier 1.556–1.559', 'OB Baissier 1.554–1.556', 'OB Baissier 1.554–1.556', 'OB Baissier 1.556–1.557', 'OB Baissier 1.552–1.553', 'OB Baissier 1.555–1.557', 'OB Baissier 1.554–1.555', 'OB Baissier 1.554–1.560', 'OB Baissier 1.554–1.556', 'OB Baissier 1.554–1.555', 'OB Baissier 1.554–1.556', 'OB Baissier 1.554–1.555', 'OB Baissier 1.553–1.554', 'OB Baissier 1.553–1.553', 'OB Baissier 1.553–1.555', 'OB Baissier 1.552–1.554', 'OB Baissier 1.552–1.554', 'OB Baissier 1.552–1.555', 'OB Baissier 1.552–1.556', 'OB Baissier 1.554–1.556']"
8,LONG,LOSS,-1.0,1.5436299999999998,1.5416299999999998,1.5476299999999998,200,2020-03-12 17:05:00,2020-03-12 17:10:00,1,New York,71.1,bullish,False,Top 1.554 vs préc. 1.560,643,1,12,True,True,London,1.5589300000000001,1.54684,"['OB Baissier 1.547–1.550', 'OB Baissier 1.545–1.548', 'OB Baissier 1.546–1.553', 'OB Baissier 1.546–1.548', 'OB Baissier 1.545–1.547', 'OB Baissier 1.546–1.548', 'OB Baissier 1.545–1.546', 'OB Baissier 1.546–1.548', 'OB Baissier 1.546–1.548', 'OB Baissier 1.546–1.547', 'OB Baissier 1.545–1.546', 'OB Baissier 1.544–1.548', 'OB Baissier 1.545–1.546']"
9,LONG,LOSS,-1.0,1.55057,1.54857,1.55457,200,2020-03-10 08:00:00,2020-03-10 08:05:00,1,Tokyo,81.5,bullish,True,Top 1.556 vs préc. 1.554,162,1,48,False,False,New York,1.56942,1.54243,"['OB Baissier 1.554–1.560', 'OB Baissier 1.554–1.556', 'OB Baissier 1.554–1.556', 'OB Baissier 1.551–1.553', 'OB Baissier 1.552–1.553', 'OB Baissier 1.554–1.555', 'OB Baissier 1.554–1.560', 'OB Baissier 1.554–1.556', 'OB Baissier 1.554–1.555', 'OB Baissier 1.554–1.556', 'OB Baissier 1.554–1.555', 'OB Baissier 1.553–1.554', 'OB Baissier 1.551–1.553', 'OB Baissier 1.553–1.553', 'OB Baissier 1.553–1.555', 'OB Baissier 1.551–1.552', 'OB Baissier 1.552–1.554', 'OB Baissier 1.552–1.554', 'OB Baissier 1.552–1.555', 'OB Baissier 1.552–1.553', 'OB Baissier 1.552–1.556', 'OB Baissier 1.554–1.556']"
10,LONG,WIN,2.0,1.54582,1.54382,1.54982,200,2020-03-11 18:45:00,2020-03-11 18:55:00,2,New York,71.8,bullish,False,Top 1.554 vs préc. 1.556,319,1,31,True,False,London,1.56052,1.54677,"['OB Baissier 1.548–1.552', 'OB Baissier 1.547–1.550', 'OB Baissier 1.549–1.553', 'OB Baissier 1.546–1.553', 'OB Baissier 1.549–1.553', 'OB Baissier 1.548–1.549', 'OB Baissier 1.546–1.548', 'OB Baissier 1.549–1.550', 'OB Baissier 1.548–1.549', 'OB Baissier 1.549–1.550', 'OB Baissier 1.548–1.549', 'OB Baissier 1.549–1.551', 'OB Baissier 1.546–1.548', 'OB Baissier 1.548–1.549', 'OB Baissier 1.546–1.548', 'OB Baissier 1.550–1.558']"
