date,symbol,corr_symbol,direction,entry,entry_time,sl,tp1,tp2,sl_pips,pip_value_per_lot,pnl_pips,outcome,exit_time,exit_price,month,lot_size,pnl_dollar,balance,drawdown_pct
2023-01-02,EURUSD,,bullish,1.06596,2023-01-02 19:35:00+00:00,1.06487,1.0679899999999998,1.07043,10.9,8.549566109519942,6.4,EOD,2023-01-02 23:55:00+00:00,1.06665,2023-01,0.11,6.018894541102039,506.01889454110204,0.0
2023-01-04,EURJPY,,bearish,138.467,2023-01-04 13:10:00+00:00,138.648,138.12000000000003,137.869,18.1,5.3393418727207695,-19.1,SL_INIT,2023-01-04 14:10:00+00:00,138.648,2023-01,0.1,-10.198142976896671,495.82075156420535,2.0153680202288045
2023-01-09,AUDUSD,,bearish,0.69287,2023-01-09 19:25:00+00:00,0.69512,0.68852,0.68746,22.5,8.549566109519942,15.4,EOD,2023-01-09 23:55:00+00:00,0.69125,2023-01,0.05,6.583165904330356,502.4039174685357,0.7143956701151774
2023-01-09,AUS200,,bearish,7172.6,2023-01-09 19:50:00+00:00,7186.620000000001,7144.575,7136.6,1402.0,0.006098899758483569,3299.0,EOD,2023-01-09 22:55:00+00:00,7139.6,2023-01,1.17,23.540716254787633,525.9446337233234,0.0
2023-01-09,US30,,bearish,33764.5,2023-01-09 12:50:00+00:00,33792.02,33709.475,33669.5,2752.0,0.008549566109519941,-2754.5,SL_INIT,2023-01-09 14:30:00+00:00,33792.02,2023-01,0.43,-10.126405334929252,515.8182283883941,1.925374780086892
2023-01-16,EURJPY,,bearish,139.182,2023-01-16 20:00:00+00:00,139.306,138.94899999999993,138.226,12.4,5.3393418727207695,4.5,EOD,2023-01-16 23:55:00+00:00,139.127,2023-01,0.15,3.604055764086519,519.4222841524806,1.2401209466990866
2023-01-17,EURJPY,,bearish,139.38,2023-01-17 13:30:00+00:00,139.60500000000002,138.94499999999994,138.814,22.5,5.3393418727207695,-23.5,SL_INIT,2023-01-17 16:20:00+00:00,139.60500000000002,2023-01,0.08,-10.037962720715047,509.3843214317656,3.1486797715421524
2023-01-20,AUDUSD,,bearish,0.69499,2023-01-20 18:15:00+00:00,0.69677,0.69158,0.69059,17.8,8.549566109519942,-18.6,SL_INIT,2023-01-20 20:55:00+00:00,0.69677,2023-01,0.07,-11.131535074594966,498.25278635717063,5.2651639717499625
2023-01-25,EURUSD,,bullish,1.08713,2023-01-25 16:00:00+00:00,1.08547,1.0902999999999996,1.09107,16.6,8.549566109519942,38.9,TRAIL,2023-01-25 17:10:00+00:00,1.09107,2023-01,0.07,23.280468516222804,521.5332548733934,0.8387534670142882
2023-01-27,US30,,bearish,33989.6,2023-01-27 15:55:00+00:00,34012.119999999995,33944.575,33921.1,2252.0,0.008549566109519941,-2254.5,SL_INIT,2023-01-27 16:30:00+00:00,34012.119999999995,2023-01,0.52,-10.022998332834609,511.51025654055877,2.7444670517083156
2023-02-02,EURUSD,,bullish,1.09889,2023-02-02 14:50:00+00:00,1.0978,1.1009199999999992,1.10324,10.9,8.549566109519942,-11.4,SL_INIT,2023-02-02 15:15:00+00:00,1.0978,2023-02,0.11,-10.721155901338008,500.78910063922075,4.782924184627359
2023-02-02,AUDUSD,,bullish,0.71238,2023-02-02 13:25:00+00:00,0.7113200000000001,0.7143499999999999,0.71571,10.6,8.549566109519942,-0.3,BE,2023-02-02 16:30:00+00:00,0.71243,2023-02,0.11,-0.2821356816141581,500.5069649576066,4.836567793388383
2023-02-03,CN50,,bullish,13640.5,2023-02-03 18:30:00+00:00,13592.98,13735.525000000003,13813.5,4752.0,0.008549566109519941,-4753.0,SL_INIT,2023-02-03 20:30:00+00:00,13592.98,2023-02,0.25,-10.15902192963707,490.34794302796956,6.768144099760827
2023-02-08,EURJPY,,bearish,140.847,2023-02-08 21:15:00+00:00,141.044,140.468,140.285,19.7,5.339370381444619,3.8,EOD,2023-02-08 23:55:00+00:00,140.799,2023-02,0.1,2.028960744948955,492.3769037729185,6.382369511552686
2023-02-10,AUDUSD,,bullish,0.69166,2023-02-10 22:35:00+00:00,0.69065,0.6935300000000002,0.69595,10.1,8.549566109519942,0.4,EOD,2023-02-10 23:55:00+00:00,0.69178,2023-02,0.12,0.4103791732569573,492.7872829461755,6.304342444263919
2023-02-16,EURJPY,,bearish,143.331,2023-02-16 16:10:00+00:00,143.441,143.12599999999995,143.043,11.0,5.339370381444619,27.8,TRAIL,2023-02-16 20:45:00+00:00,143.043,2023-02,0.17,25.23386442270727,518.0211473688828,1.506524802496373
2023-02-22,FRA40,,bullish,7247.2,2023-02-22 13:00:00+00:00,7232.98,7275.625,7298.6,1422.0,0.01,-1423.0,SL_INIT,2023-02-22 13:45:00+00:00,7232.98,2023-02,0.7,-9.960999999999999,508.0601473688828,3.4004503911050135
2023-02-28,AUS200,,bullish,7234.0,2023-02-28 19:50:00+00:00,7215.98,7270.025000000001,7274.0,1802.0,0.006098899758483569,-301.0,EOD,2023-02-28 22:55:00+00:00,7231.0,2023-02,0.91,-1.6705496328462344,506.38959773603654,3.7180788116138257
2023-03-02,AUDUSD,,bullish,0.67285,2023-03-02 13:35:00+00:00,0.67201,0.6743799999999999,0.67654,8.4,8.549566109519942,-9.2,SL_INIT,2023-03-02 14:50:00+00:00,0.67201,2023-03,0.14,-11.011841149061686,495.37775658697484,5.811805117195744
2023-03-08,FRA40,,bearish,7333.1,2023-03-08 14:15:00+00:00,7342.820000000001,7313.675,7300.3,972.0,0.01,-973.0,SL_INIT,2023-03-08 15:25:00+00:00,7342.820000000001,2023-03,1.03,-10.0219,485.3558565869748,7.717309871384777
2023-03-13,US30,,bullish,31855.05,2023-03-13 13:20:00+00:00,31726.03,32113.074999999997,32368.05,12902.0,0.008549566109519941,-12904.5,SL_INIT,2023-03-13 15:10:00+00:00,31726.03,2023-03,0.09,-9.929508827427007,475.4263477595478,9.60524791481208
